,case_id,keydate,ct090,ap090,c0001,c0039,c0044,d0031,b0007,d0009,c0031,a8404,c0019,d0027,c9008,d2112,d0012,d1205,c0015
0,1,2017-08-12 00:00:00.0,0.0,0.0,221.68,K6622,1,2.0,0.0,238.38,2.0,,98.0,0.0,49.0,0.0,1,,222.69
1,2,2017-02-03 00:00:00.0,0.0,0.0,151.36,K6512,2,,210.53,0.0,5.0,,109.0,2.0,51.0,0.0,2,1.0,212.72
2,3,2017-02-17 00:00:00.0,0.0,0.0,48.84,K6512,3,1.0,,0.0,2.0,0.0,748.0,0.0,48.0,,3,,56.84
3,4,2017-09-18 00:00:00.0,0.0,0.0,413.15,K6622,4,,,54.14,3.0,1.0,8.0,0.0,27.0,,4,,463.15
4,5,2017-07-22 00:00:00.0,0.0,0.0,125.83,K6512,5,2.0,20.0,83.0,6.0,,324.0,0.0,40.0,0.0,1,,146.09
5,6,2017-05-13 00:00:00.0,0.0,0.0,56.77,K6512,6,1.0,,0.0,3.0,,4.0,0.0,47.0,,1,,117.77
6,7,2017-02-23 00:00:00.0,0.0,0.0,667.65,K6622,7,,,147.09,4.0,,13.0,0.0,35.0,,4,,717.65
7,8,2017-09-02 00:00:00.0,0.0,0.0,77.2,K6622,8,2.0,,152.56,1.0,0.36,64.0,0.0,47.0,,1,,107.82
8,9,2017-03-12 00:00:00.0,0.0,0.0,277.44,K6512,2,2.0,315.6,222.25,4.0,0.0,104.0,4.0,63.0,0.0,1,,354.67
9,10,2017-07-13 00:00:00.0,0.0,0.0,190.5,K6512,9,,,31.39,1.0,0.25,162.0,0.0,51.0,,4,,216.22
10,11,2017-01-20 00:00:00.0,1.0,189.6,169.53,K6512,10,,,0.0,1.0,0.33,131.0,0.0,28.0,,5,,189.61
11,12,2017-02-18 00:00:00.0,0.0,0.0,321.96,K6512,5,,,240.04,1.0,,140.0,0.0,32.0,,4,,350.85
12,13,2017-08-12 00:00:00.0,1.0,1680.08,1680.08,K6512,11,,,57.3,3.0,,64.0,0.0,31.0,,5,,1695.08
13,14,2017-05-25 00:00:00.0,0.0,0.0,1303.13,K6622,12,,308.4,0.0,3.0,0.0,14.0,1.0,64.0,0.0,6,1.0,1353.13
14,15,2017-08-20 00:00:00.0,1.0,268.86,248.73,K6512,5,,,348.1,2.0,,141.0,0.0,53.0,,4,,268.86
15,16,2017-01-21 00:00:00.0,0.0,0.0,131.95,K6512,2,,,1478.31,2.0,0.0,103.0,0.0,55.0,,4,,193.31
16,17,2017-07-27 00:00:00.0,1.0,144.25,136.25,K6512,13,,224.29,0.0,2.0,0.33,91.0,0.0,45.0,0.0,7,0.0,144.25
17,18,2017-04-06 00:00:00.0,1.0,250.57,840.7,K6512,6,,763.66,0.0,3.0,0.0,214.0,0.0,63.0,0.0,8,0.0,501.14
18,19,2017-07-13 00:00:00.0,0.0,0.0,0.0,K6512,6,2.0,,2121.97,3.0,0.0,4.0,0.0,25.0,,1,,268.51
19,20,2017-05-27 00:00:00.0,0.0,0.0,382.9,K6499,14,,,533.5,4.0,0.29,295.0,0.0,26.0,,4,,432.97
20,21,2017-09-03 00:00:00.0,0.0,0.0,60.0,K6622,15,2.0,,0.0,4.0,0.0,4.0,1.0,49.0,,1,,71.0
21,22,2017-05-25 00:00:00.0,0.0,0.0,59.37,K6619,16,0.0,,0.0,3.0,,4.0,0.0,46.0,,1,,59.37
22,23,2017-07-21 00:00:00.0,0.0,0.0,560.46,K6622,12,2.0,,0.0,0.0,0.37,10.0,0.0,23.0,,3,,610.46
23,24,2017-06-23 00:00:00.0,0.0,0.0,100.0,K6512,5,1.0,80.81,4172.4,4.0,0.28,357.0,6.0,45.0,0.0,1,,120.24
24,25,2017-03-31 00:00:00.0,0.0,0.0,292.72,K6512,11,2.0,16.53,0.0,4.0,,94.0,0.0,52.0,0.0,1,,307.72
25,26,2017-05-07 00:00:00.0,0.0,0.0,64.9,K6622,17,,,22.71,1.0,,88.0,0.0,34.0,,4,,124.9
26,27,2017-05-05 00:00:00.0,0.0,0.0,1152.6,K6619,18,2.0,14.16,0.0,3.0,,4.0,0.0,23.0,0.0,1,,1152.6
27,28,2017-06-23 00:00:00.0,0.0,0.0,917.48,K6512,6,,,1005.08,1.0,,4.0,0.0,23.0,,4,,1005.48
28,29,2017-06-15 00:00:00.0,0.0,0.0,159.55,K6512,10,,310.32,0.0,2.0,,160.0,0.0,,0.0,5,,180.03
