kdate,Unnamed: 0,ct090,ap090,c0039,c0044,d0031,b0007,d0009,c0031,a8404,c0019,d0027,c9008,d2112,d0012,c0015,month
2017-08-12,0,0.0,0.0,K6622,1,2.0,0.0,238.38,2.0,0.18,98.0,0.0,49.0,0.0,1,222.69,8
2017-02-03,1,0.0,0.0,K6512,2,,210.53,0.0,5.0,0.25,109.0,2.0,51.0,0.0,2,212.72,2
2017-02-17,2,0.0,0.0,K6512,3,1.0,20.0,0.0,2.0,0.0,748.0,0.0,48.0,0.0,3,56.84,2
2017-09-18,3,0.0,0.0,K6622,4,,20.0,54.14,3.0,1.0,8.0,0.0,27.0,0.0,4,463.15,9
2017-07-22,4,0.0,0.0,K6512,5,2.0,20.0,83.0,6.0,0.25,324.0,0.0,40.0,0.0,1,146.09,7
2017-05-13,5,0.0,0.0,K6512,6,1.0,315.6,0.0,3.0,0.25,4.0,0.0,47.0,0.0,1,117.77,5
2017-02-23,6,0.0,0.0,K6622,7,,315.6,147.09,4.0,0.18,13.0,0.0,35.0,0.0,4,717.65,2
2017-09-02,7,0.0,0.0,K6622,8,2.0,315.6,152.56,1.0,0.36,64.0,0.0,47.0,0.0,1,107.82,9
2017-03-12,8,0.0,0.0,K6512,2,2.0,315.6,222.25,4.0,0.0,104.0,4.0,63.0,0.0,1,354.67,3
2017-07-13,9,0.0,0.0,K6512,9,,308.4,31.39,1.0,0.25,162.0,0.0,51.0,0.0,4,216.22,7
2017-01-20,10,1.0,189.6,K6512,10,,308.4,0.0,1.0,0.33,131.0,0.0,28.0,0.0,5,189.61,1
2017-02-18,11,0.0,0.0,K6512,5,,308.4,240.04,1.0,0.25,140.0,0.0,32.0,0.0,4,350.85,2
2017-08-12,12,1.0,1680.08,K6512,11,,308.4,57.3,3.0,0.25,64.0,0.0,31.0,0.0,5,1695.08,8
2017-05-25,13,0.0,0.0,K6622,12,,308.4,0.0,3.0,0.0,14.0,1.0,64.0,0.0,6,1353.13,5
2017-08-20,14,1.0,268.86,K6512,5,,224.29,348.1,2.0,0.25,141.0,0.0,53.0,0.0,4,268.86,8
2017-01-21,15,0.0,0.0,K6512,2,,224.29,1478.31,2.0,0.0,103.0,0.0,55.0,0.0,4,193.31,1
2017-07-27,16,1.0,144.25,K6512,13,,224.29,0.0,2.0,0.33,91.0,0.0,45.0,0.0,7,144.25,7
2017-04-06,17,1.0,250.57,K6512,6,,763.66,0.0,3.0,0.0,214.0,0.0,63.0,0.0,8,501.14,4
2017-07-13,18,0.0,0.0,K6512,6,2.0,80.81,2121.97,3.0,0.0,4.0,0.0,25.0,0.0,1,268.51,7
2017-05-27,19,0.0,0.0,K6499,14,,80.81,533.5,4.0,0.29,295.0,0.0,26.0,0.0,4,432.97,5
2017-09-03,20,0.0,0.0,K6622,15,2.0,80.81,0.0,4.0,0.0,4.0,1.0,49.0,0.0,1,71.0,9
2017-05-25,21,0.0,0.0,K6619,16,0.0,80.81,0.0,3.0,0.24,4.0,0.0,46.0,0.0,1,59.37,5
2017-07-21,22,0.0,0.0,K6622,12,2.0,80.81,0.0,0.0,0.37,10.0,0.0,23.0,0.0,3,610.46,7
2017-06-23,23,0.0,0.0,K6512,5,1.0,80.81,4172.4,4.0,0.28,357.0,6.0,45.0,0.0,1,120.24,6
2017-03-31,24,0.0,0.0,K6512,11,2.0,16.53,0.0,4.0,0.25,94.0,0.0,52.0,0.0,1,307.72,3
2017-05-07,25,0.0,0.0,K6622,17,,14.16,22.71,1.0,0.18,88.0,0.0,34.0,0.0,4,124.9,5
2017-05-05,26,0.0,0.0,K6619,18,2.0,14.16,0.0,3.0,0.24,4.0,0.0,23.0,0.0,1,1152.6,5
2017-06-23,27,0.0,0.0,K6512,6,,310.32,1005.08,1.0,0.25,4.0,0.0,23.0,0.0,4,1005.48,6
2017-06-15,28,0.0,0.0,K6512,10,,310.32,0.0,2.0,0.25,160.0,0.0,43.17,0.0,5,180.03,6
2017-08-20,29,0.0,0.0,K6622,12,,98.0,548.49,2.0,0.09,75.0,2.0,36.0,0.0,7,384.82,8
2017-08-25,30,0.0,0.0,K6512,6,,33.28,24.88,3.0,0.25,4.0,0.0,22.0,0.0,4,1171.55,8
2017-05-25,31,0.0,0.0,K6512,19,2.0,33.28,195.55,4.0,0.25,108.0,0.0,53.0,0.0,1,442.62,5
2017-04-22,32,0.0,0.0,K6622,12,1.0,169.59,0.0,5.0,0.18,116.0,0.0,37.0,1.0,8,178.84,4
2017-07-22,33,1.0,1166.96,K6622,4,1.0,527.87,0.0,4.0,0.0,313.0,0.0,52.0,1.0,1,1166.96,7
